address,city,hotel_facilities,point_of_interest,property_name,property_type,room_type,hotel_rating
"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,",Guwahati,Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Welcome Drinks|Power Backup|Gardens|Conference Facility |Kitchen available (home cook food on request)|Car Rental|Board Room|Internet Access Free|Newspapers In Lobby|Children's Park| Cook Services|Parking Facility|Room Service,Rg Baruah Road|Nehru Stadium|Guwahati Railway Station|Assam State Museum|Guwahati Planetarium,Ashirwad Homestay,Hotel,Deluxe Ac Suite with Kitchentte,4.3
"Near Botanical Garden Metro Station,Sec  -  46",NOIDA,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Extra Person / Child - Share the same room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,The Great India Place|Worlds of Wonder|Botanical Garden Metro Station|Noida Golf Course Metro Station|Shipra Mall|Others,Apna Ghar- Sector 46,Guest House,Deluxe Room,3.3
"429, Sector-6, Rohini, Near Vidha Jain Public School",Delhi,Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Smoking Area |Internet Access Free|Courier Service|Parking Facility|Room Service,North Delhi|Parsavnath Mall Rohini|Metro Walk|Rohini|Jaipur Golden Hospital|Dr. Baba Saheb Ambedkar Hospital,Baba Guest House,Guest House,Standard Room,3.3
"Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh",Manali,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Gardens,Naggar Road|Manali 1st Super Market|Chandrakhani Pass|Vashist Hot Water Springs and Temples,Baragarh Villa,Villa,Royal Suite,3.3
"Titawada, Nerul Bardez Goa",Goa,,Vintage Hospital And Medical Research Centre|Sinquerim Beach|Shanta Durga Temple|Chichekade Bus Stop|Candolim Bus Stop|Candolim Area|Fort Aguada|Miramar Beach|Kala Academy|North Goa|Candolim Beach,Annapurna Guest House,Guest House,AC 1 BHK,4.6
"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory",Chennai,Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured,Thuraipakkam,ARAVINDAR RESIDENCY,Hotel,Deluxe Room,3.6
"Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat",Chitrasani,Banquet Facilities|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|Doorman|Wake-up Call / Service|Car Rental|Guide / Sightseeing Service|Room Service,Banaskantha,Balaram Palace Resort,Palace,Royal Tent,1
"Village Savti, Dharampuri, P.O. Daulatpura, Distt. Khandar",Sawai Madhopur,Doctor on Call|24 Hour Front Desk|Room Service (24 Hours)|Room Service|CCTV,Ranthambhore,Bhadrawati Safari Lodge,Lodge,Luxury Room,3.3
"NT Mall Road, Dalhousie ,176304(HP)",Dalhousie,Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Power Backup|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Room Service|First-Aid Kit at Front Desk|Public Restrooms|Speciality Restaurant |Suites,Dainkund Peak|Rang Mahal|The Mall,AS Clarks inn,Hotel,Deluxe,4.2
"Mullassery Building, Near Pallathuruthy Bridge, AC Road, Alleppey, Kerala, 688003",Alleppey,Doctor on Call,Champakulam Church|Alleppey Railway Station|Others|Alleppey Beach,"Beautiful Alleppey Tours Two Bedroom, Alleppey",Houseboat,Deluxe Room,4
Sinhgad road pune,Pune,Business Center |Parking Facilities Available|24 Hour Front Desk|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Suites,Chaitanya Hospital|Lokmanya Hospitals Joint Replacement Center|Mai Mangeshkar Hospital|Deenanath Mangeshkar Hospital|saras baug|Pune Bangalore Highway|Anandibai Narhar Gadgil Hospital|Krishna Hospital|Parvati Hill|Cipla Cancer &amp; Aids Foundation Care &amp; Training Center|Cipla Cancer & Aids Foundation Care & Training Center,Ashiyana,Homestay,Double Room,4
"Railway Station Rd,NEAR SHIVAJI STATUE,NANDED,MAHARASHTRA.",Nanded,Business Center |Doctor on Call|Laundry Service Available|24 Hour Front Desk|Power Backup|Room Service|CCTV,Railway Station Rd|Shri Guru Gobind Singh Ji Airport,ASHIRWAD LODGING,Hotel,NON AC DELUXE,3.2
"Dadanpatrabar, Mandarmani.",Mandarmani,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Room Service,Beach Road|Mandarmani Beach,Aqua Marina Drive Inn,Resort,Aqua Super Royal AC (1st &amp; 2nd Floor with Sea View),4.5
"Nagalore road  Opp petrol bunk,",Yercaud,Business Center |Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Gardens|Room Service (24 Hours)|STD / ISD|Parking Facility,Arthur Seat|Yercaud Main Town|Killiyur Falls,Annai Illam Guest House,Guest House,Triple bed room,4.6
"Shuru, PO Prini, Manali",Manali,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Gardens|Picnic Area|Open Air Restaurant / Dining | Bike on Rent|Vegetarian Food / Jain Food Available|Taxi Services|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Restaurant|Room Service,Hadimba Temple|Himalayan Nyingmapa Gompa|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Village Prini|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House,Bella Marina Villa,Hotel,Deluxe Room,4
"plot no 56, ghata village, gurgaon",Gurgaon,Doctor on Call|Parking Facilities Available|Power Backup|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,Others|Amity International School,ATOM Guest House,Guest House,Standard Room,4
"Bendemeer Group of House boat, Ghat No 7, Boulevard Road, Srinagar, Jammu and Kashmir",Srinagar,Currency Exchange|Doctor on Call|Laundry Service Available|Front Desk|Local Tour / Travel Desk|Luggage Storage|Medical Assistance Available|Power Backup|Gardens|Dance Performances (on demand)|Suitable For Children|Separate Sitting Area|Smoking Area |Extra Person / Child - Share the same room|Internet Access Free|Family Room|Air / Rail Booking|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Room Service|Paid Transfers|Security at All Hotel Entrances|Suites,Dastgir Sahib|Dal Lake Area,Bendmeer Group of House Boat and Resorts,Houseboat,Super Deluxe,4
"Gat no 1000, At post Dapode Khariv Bandhara, Taluka Velhe",Pune,Doctor on Call|Parking Facilities Available|Front Desk,Others,Balaji Resorts,Resort,delux room,4
Near Central St Stand,Chiplun,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Room Service|Fire Safety,Sawatsada Waterfall|Parshuram|Walavalkar Shivaji Museum,Asha Sukha Nivas Laudge,Lodge,Aircooled,4
"Road No. 2, Central Avenue,Kalyani Nagar",Pune,Airport Transfer Available / Surcharge|Business Center |Concierge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Power Backup|Gardens|Smoking Area |Shopping Drop Facility (on fixed timings)|Internet Access Free|Newspapers In Lobby|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility,Aga Khan Palace|Kalyani Nagar|Poona Club Golf Course|Pune Airport|Osho Ashram,AR Suites Fontana Bay,Service Apartment,1 Bedroom,4.6
"Village Simsa, Kanyal Road",Manali,Banquet Facilities|Business Center |Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Catering|Suitable For Children|Grocery|Conference Facility |Kitchen available (home cook food on request)|Massage Services |Discotheque | Bike on Rent|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|City Shuttle Service|Campfire / Bon Fire|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Air / Rail Booking|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility,Village Simsa|Chandrakhani Pass|Manali 1st Super Market,Atithi Cottages,Hotel,Luxury Room,2.9
"# 598, 15th Cross, 35th Main,6th Phase, JP Nagar",Bangalore,Airport Transfer Available / Surcharge|Bar / Lounge |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility,Lal Bagh Botanical Garden|THE BULL TEMPLE|Apollo Hospitals|Spices Board Regional Office|Sagar Hospitals|Bangalore Water Supply &amp; Sewerage Board|ICFAI University|Rajiv Gandhi University of Health Sciences|Rajiv Gandhi Institute of Chest Diseases|Jayanagar Bus Stop|Sri Jayadeva Institute of Cardiovascular Sciences and Research|HSBC Bus Stop|Jp Nagar|Sree Tirumalagiri Lakshmi Venkateshwara Devasthanam|Fortis Hospital|Sanjay Gandhi Accident Hospital and Research Institute|Gangamma temple|Royal Meenakshi Mall|Jayanagar Metro Station|Indira Gandhi Institute Of Child Health Hospital|Bangalore Water Supply & Sewerage Board,Aurick Hotel,Hotel,Premium Room,4
"Near Bus Stand, Station Road, Bagalkot, Karnataka PIN 587101",Bagalkot,Doctor on Call|Lobby|Non Smoking Rooms|Front Desk|24 Hour Front Desk|Power Backup,Near Bus Stand,Anugraha Deluxe Hotel,Hotel,Non AC Room,3.5
"Near New Bus Terminal, Main Road,Kalpetta, Wayanad",Wayanad,"Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Spa On Site - Chargeable|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Wake-up Call / Service|Separate Sitting Area|Coffee Shop / Cafe|Electronic / Magnetic Keys|Fire Place Available |Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Car Rental|Taxi Services|Food Facility|Internet Access Free|Newspapers In Lobby|Party hall|Air / Rail Booking|Baggage Room|Guide / Sightseeing Service|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility",Kalpetta,Best Western Plus Ekobarn,Hotel,Premium Double Room with Breakfast,4.3
"Village Nadiali, P.O. Dharamgarh, Near Nabha Sabhib Gurudwara, Ajitgarh, Chandigarh",Chandigarh,Swimming Pool|Bar / Lounge |Doctor on Call|Dry Cleaning|Laundry Service Available|Multi Cuisine Restaurant |Sauna|Conference Facility,Others|Krishna Market|Sector-43 Bus Stand|Mohali Cricket Stadium|Hockey Stadium,Aura Vaseela,Resort,Cottage Rooms,1.6
"Naddi, Dal Lake, Mcleod Ganj",Mcleodganj,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Coffee Shop / Cafe|Children's Park|Room Service (24 Hours),Dalai Lama Temple|Bhagsu Waterfall|Dharamkot|Pathankot|Bhagsunath Temple|Kangra|Dalhousie|Tapovan|McLeod Ganj|Dal Lake|Bajreshwari Devi Temple|Tibet Museum|Village Naddi|Triund trek from,Anupam Resorts,Resort,Deluxe Room,4.1
"Near La calypso casino, Saunta Waddo, Baga Beach",Goa,Airport Transfer Available / Surcharge|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Luggage Storage|Power Backup|Smoking Rooms|Kitchen available (home cook food on request)| Bike on Rent|Car Rental|Taxi Services|Food Facility|Spa Services Nearby| Cook Services|Baggage Room|Outdoor Parking - Non Secured|Parking Facility|Room Service|CCTV,"North Goa|Anjuna Beach|Baga Area|Calangute Beach|Titos lane, baga|Baga Beach|Calangute Bus Stand|Anjuna Beach Bus Stop",Atharv Coastal End Guest House,Guest House,Standard A/C Room,3.4
Badrish Hotal Near Tapowan Choki,Rishikesh,Doctor on Call|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Medical Assistance Available|Parking Facility|Room Service,Laxman Jhula Area|Triveni Ghat,Badrish,Hotel,Deluxe Ac Room,2.8
"Adjacent Chakravarthy Theater, KPT St, Siva Nagar, Dharmavaram,Anantapu",Anantapur,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Power Backup|Room Service (24 Hours)|Parking Facility|Room Service,Siva Nagar,Balaji Inn,Hotel,Suite Room,2.5
"Kilbury Forest Road,  Village Pangot, Nainital (approx 13Kms from Town)",Nainital,Swimming Pool|Beauty Salon - on charge|Billiards|Bowling|Doctor on Call|Games Zone|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Spa On Site - Chargeable|Table Tennis|24 Hour Front Desk|Doorman|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Audio - Visual Equipment|Catering|Porter / Bellhop|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Kitchen available (home cook food on request)|Multi - Line Phone|Pool Table|Discotheque |Clubhouse|Open Air Restaurant / Dining |Fun Floats|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Board Room|Food Facility|Newspapers In Lobby|Postal / Parcel Services|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Air / Rail Booking|Courier Service|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Public Restrooms|Speciality Restaurant |Suites,,Ashokas Naini Chalet,Resort,chalet,3.5
"#1, V H Road, Palakkad 678701",Palakkad,Doctor on Call|Dry Cleaning|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Public Restrooms,Palakkad Fort|Thiruvalathoor Shiva Temple|Kalpathy Temple|English Church Road|Jain Temple,Apex Residency,Hotel,Standard Room,3.3
"S.N Junction, Punnamada, Alappuzha",Alleppey,Power Backup|Fire Safety,Finishing Point Road|Alleppey Railway Station|Champakulam Church|Alleppey Beach,Bens Houseboats 4 Bed Room A/c DLX (4),Houseboat,4 Bed Room A/c DLX 8 PAX,0.8
shahi hamdan colony zukroo,Srinagar,Ballroom|Parking Facilities Available|Front Desk|Parking Facility|Room Service|First-Aid Kit at Front Desk,Others,BE MY GUEST,Guest House,deluxe room Double,3.9
"No.7.Dharga Road, Pallavaram,",Chennai,Parking Facilities Available|Front Desk|Internet Access Free|Room Service (24 Hours)|Parking Facility,"Airport Area, Pallavaram|Chennai International Airport",AVNB Towers,Hotel,Executive Room,3.6
"No 6/16, munnekolalu extention, ashwathnagar, varthur hobli",Bangalore,Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Transfers Available|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Speciality Restaurant,Future Group Cosmos Mall|Marathahalli|Inorbit Mall|UIDAI Technology Center|Vydehi Institute of Medical Sciences &amp; Research Centre|Kalamandir Bus Stop|Bellandur Railway Station|Vydehi Institute of Medical Sciences & Research Centre,ATITHI RESIDENCY - MARTHAHALLI,Hotel,EXECUTIVE AC ROOM,4.3
"122 / 3, Near Bharma Temple",Pushkar,Doctor on Call|Multi Cuisine Restaurant,Pushkar Lake|Brahma Temple|Savitri Temple|Brahma Temple Area,AROMA,Hotel,NON Ac Room,4.1
"Gimhavne, Dapoli",Dapoli Camp,Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Gardens|Parking Facility|Room Service|Speciality Restaurant,Suvarnadurg and Kanakdurg Forts|Gihavane|Keshavraj|Kadyavarcha Ganpati,Bahar Homestay,Homestay,standard room,4.8
"Beach Road, Calicut Pin - 673 032 Kerala, India",Calicut,Doctor on Call|Dry Cleaning|Lift / Elevator|Lobby|24 Hour Front Desk|Room Service,Kappad Beach,BEACH HOTEL,Hotel,Palliyara with Beach View Balcony,4.1
"House No. 681/1 , Demello Vaddo,Anjuna Beach Road,4th lane left from Starco Junction,Anjuna- Goa.",Goa,Doctor on Call|Internet Access - Surcharge|Parking Facilities Available,"Anjuna Beach|Calangute Beach|Titos lane, baga|Baga Beach|North Goa|Anjuna Beach Bus Stop|Candolim Area|Vagator Beach",Arjun Villa,Guest House,Non AC Room,4.4
"christain basti , opposite passport seva kendra, walford",Guwahati,Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Multi Lingual Staff|Kitchen available (home cook food on request)|Vegetarian Food / Jain Food Available|Food Facility|Internet Access Free|Party hall|Outdoor Parking - Secured|Parking Facility|Room Service|Suites,Nehru Stadium|Guwahati Railway Station|Assam State Museum|G.S. Road,Awesome Palace,Guest House,Awesome Stay double,4
"No.7 Sriram Nagar, Polur Road",Tiruvannamalai,"Babysitting/ Child Care (surcharge)|Banquet Facilities|Currency Exchange|Doctor on Call|Dry Cleaning|Gift Shop |Laundry Service Available|Lift / Elevator|Lobby|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Welcome Drinks|Power Backup|Multi Lingual Staff|Wake-up Call / Service|Access Via Exterior Corridors|Multi - Line Phone|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Transfers Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Express Laundry|Meditation Room| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Party hall|RO Water Purification System|Parking Facility",The Ramana Ashram|Virupaksha Cave|Athiyanthal Village,Arpanaa Hotel,Hotel,Superior Double Room,4.5
"Flat no 308,Block 2,Sarada Apartments II, Next lane to Axis Bank, Road No.1, Banjara Hills",Hyderabad,Laundry Service Available|Medical Assistance Available|Suitable For Children|Room Service,Banjara Hills Area,Athidhi Guest House,Guest House,Deluxe Room,2.9
"J. Tata Road, Churchgate Reclamation   Opp Eros Cinema mumbai 400020",Mumbai,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Restaurant,Crawford Market|Charni Road Railway Station|Marine Lines Railway Station|Marine Lines|Metro Cinema|Fashion Street|St Xavier College,Astoria Hotel,Hotel,Standard Room,5
Badrinath Road Tapovan Rishikesh,Rishikesh,Airport Transfer Available / Surcharge|Currency Exchange|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Express Check-In / Check-Out|Wake-up Call / Service|Suitable For Children|Smoking Rooms|Fax Machine|Kitchen available (home cook food on request)| Bike on Rent|Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Air / Rail Booking|STD / ISD|Courier Service|Laptop Available on Hire|Internet / Fax (Reception area only)|Parking Facility|Internet Access|Room Service|Trekking|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Hotel Trading License|Paid Transfers|Stamps and Mailing Facility,Kailas Ashram|Tapovan|Lakshman Jhula,Bhagirathi Palace,Hotel,Semi Deluxe AC Rooms,3.1
"Behind sardar petrol pump, kampoo, lashkar gwalior",Gwalior,Doctor on Call|Front Desk|24 Hour Front Desk|Parking Facility,phoolbagh|Captain Roop Singh Stadium|Lashkar|Suraj Kund,Arihant Guest House.,Hotel,Cooler Room,2.7
"2/372, Vishal Khand, Gomti Nagar Lucknow, Lucknow - 226001, Near CMS",Lucknow,,Lucknow Golf Club|Gomti Nagar|The Lucknow Zoo,Avadh INN,BnB,AC Room,3.8
